Type,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Violent Criminal Code Violation,382,320,305,243,226,186,160,160,155,137,143
Violent Criminal Code Violation,444,440,401,383,300,279,237,257,226,247,214
Violent Criminal Code Violation,53,51,48,32,32,29,23,26,28,24,25
Violent Criminal Code Violation,1,0,0,0,0,0,0,0,0,0,0
Violent Criminal Code Violation,0,0,1,0,1,2,1,2,1,0,0
Violent Criminal Code Violation,8,4,1,2,0,7,1,2,0,0,1
Violent Criminal Code Violation,2,1,1,0,0,0,0,0,2,1,1
Violent Criminal Code Violation,2,2,2,3,3,0,2,3,1,1,1
Violent Criminal Code Violation,3,8,3,0,3,3,3,2,4,3,1
Violent Criminal Code Violation,261,263,299,247,261,197,163,142,129,106,101
Violent Criminal Code Violation,15,9,0,0,0,0,0,0,0,0,0
Violent Criminal Code Violation,0,0,5,3,2,1,1,0,0,1,0
Violent Criminal Code Violation,0,0,9,8,4,7,7,2,2,9,6
Violent Criminal Code Violation,16,11,8,9,9,4,8,11,4,10,5
Violent Criminal Code Violation,7,11,8,11,7,18,6,12,11,9,11
Violent Criminal Code Violation,193,163,151,143,113,106,97,92,96,121,98
Violent Criminal Code Violation,3,1,1,2,0,0,0,1,0,0,0
Violent Criminal Code Violation,2,0,3,2,2,3,3,3,5,2,2
Violent Criminal Code Violation,1,0,1,1,0,1,0,0,0,0,0
Violent Criminal Code Violation,0,0,0,0,0,0,0,1,0,0,0
Violent Criminal Code Violation,0,0,1,3,3,3,0,0,1,4,1
Violent Criminal Code Violation,0,0,0,0,0,0,0,0,1,3,0
Violent Criminal Code Violation,0,0,1,0,0,0,0,0,0,0,0
Violent Criminal Code Violation,0,0,0,0,0,0,0,0,0,0,1
Violent Criminal Code Violation,0,0,0,0,6,3,2,1,0,1,1
Violent Criminal Code Violation,1,1,4,3,1,1,1,0,3,2,0
Violent Criminal Code Violation,0,1,0,0,0,0,0,0,1,1,0
Violent Criminal Code Violation,1,0,0,0,0,0,0,0,0,0,1
Violent Criminal Code Violation,0,0,1,0,0,1,0,0,0,0,0
Violent Criminal Code Violation,0,0,0,0,0,1,1,0,0,0,0
Violent Criminal Code Violation,1,4,2,2,3,2,2,4,1,3,5
Violent Criminal Code Violation,1,1,0,1,1,1,0,2,4,1,3
Violent Criminal Code Violation,0,1,0,0,1,1,1,1,0,0,0
Violent Criminal Code Violation,9,4,5,8,2,3,2,4,5,2,3
Violent Criminal Code Violation,88,92,67,83,70,52,48,55,39,51,51
Violent Criminal Code Violation,314,279,265,217,190,187,134,160,157,151,160
Violent Criminal Code Violation,25,35,45,38,34,32,18,35,19,22,20
Violent Criminal Code Violation,0,0,0,0,0,1,0,0,0,0,0
Violent Criminal Code Violation,0,0,0,0,0,0,1,1,0,0,1
Violent Criminal Code Violation,3,3,1,2,0,0,0,0,1,0,0
Violent Criminal Code Violation,0,1,0,0,0,0,1,0,1,0,0
Violent Criminal Code Violation,66,68,41,41,29,29,28,18,21,18,22
Violent Criminal Code Violation,0,0,0,0,2,0,0,0,0,0,0
Violent Criminal Code Violation,0,0,1,3,0,1,1,0,0,0,1
Violent Criminal Code Violation,0,1,1,0,0,3,2,0,0,0,0
Violent Criminal Code Violation,3,3,9,2,10,4,1,3,2,3,1
Violent Criminal Code Violation,42,29,55,41,26,25,22,35,16,31,15
Violent Criminal Code Violation,2,3,0,0,0,1,0,0,2,0,0
Violent Criminal Code Violation,0,0,0,0,0,0,0,0,1,0,0
Violent Criminal Code Violation,0,0,0,0,0,0,0,0,0,0,1
Violent Criminal Code Violation,0,0,0,0,0,0,0,0,1,2,0
Violent Criminal Code Violation,1,0,0,0,1,1,1,1,0,0,0
